i,image_path,class_word,class_id,timestep,loss_before,loss_after,delta_loss,emb_l2_before,emb_l2_after,cos_emb_before_after,emb_vec_before,emb_vec_after
0,sample-imagenet-images/cassette_player_8.png,cassette player,482,560,0.046300724148750305,0.046300724148750305,0.0,0.16968344151973724,0.16968344151973724,0.9999998211860657,"[-0.089111328125, -0.0750732421875, 0.0655517578125, 0.1044921875]","[-0.089111328125, -0.0750732421875, 0.0655517578125, 0.1044921875]"
1,sample-imagenet-images/chain_saw_0.png,chainsaw,491,415,0.0188787579536438,0.0188787579536438,0.0,0.017179742455482483,0.017179742455482483,0.999998927116394,"[0.006237030029296875, 0.0079193115234375, 0.01364898681640625, 0.002689361572265625]","[0.006237030029296875, 0.0079193115234375, 0.01364898681640625, 0.002689361572265625]"
2,sample-imagenet-images/chain_saw_7.png,chainsaw,491,432,0.021105095744132996,0.021105095744132996,0.0,0.021379053592681885,0.021379053592681885,0.9999991655349731,"[0.0170440673828125, -0.0006318092346191406, 0.01253509521484375, 0.0030059814453125]","[0.0170440673828125, -0.0006318092346191406, 0.01253509521484375, 0.0030059814453125]"
3,sample-imagenet-images/church_2.png,church,497,372,0.023528341203927994,0.023528341203927994,0.0,0.015278669074177742,0.015278669074177742,0.9999986886978149,"[0.0024738311767578125, 0.0008721351623535156, 0.0129547119140625, -0.007663726806640625]","[0.0024738311767578125, 0.0008721351623535156, 0.0129547119140625, -0.007663726806640625]"
4,sample-imagenet-images/gas_pump_3.png,gas pump,571,148,0.19597142934799194,0.19597142934799194,0.0,0.04370301216840744,0.04370301216840744,0.9999995231628418,"[-0.0362548828125, 0.01108551025390625, -0.0213165283203125, 0.0042724609375]","[-0.0362548828125, 0.01108551025390625, -0.0213165283203125, 0.0042724609375]"
5,sample-imagenet-images/gas_pump_6.png,gas pump,571,792,0.47921881079673767,0.47921881079673767,0.0,0.1812092810869217,0.1812092810869217,0.9999998807907104,"[-0.026824951171875, 0.05487060546875, 0.12335205078125, 0.11785888671875]","[-0.026824951171875, 0.05487060546875, 0.12335205078125, 0.11785888671875]"
6,sample-imagenet-images/gas_pump_9.png,gas pump,571,67,0.3112316131591797,0.3112316131591797,0.0,0.03855527564883232,0.03855527564883232,0.9999993443489075,"[-0.0286407470703125, 0.0203857421875, -0.0151214599609375, -0.004688262939453125]","[-0.0286407470703125, 0.0203857421875, -0.0151214599609375, -0.004688262939453125]"
7,sample-imagenet-images/parachute_1.png,parachute,701,645,0.11179471015930176,0.11179471015930176,0.0,0.08231540024280548,0.08231540024280548,0.9999998211860657,"[0.0521240234375, 0.01390838623046875, -0.0010328292846679688, -0.062164306640625]","[0.0521240234375, 0.01390838623046875, -0.0010328292846679688, -0.062164306640625]"
8,sample-imagenet-images/parachute_4.png,parachute,701,156,0.1905956119298935,0.19059321284294128,-2.3990869522094727e-06,0.023370753973722458,0.023376651108264923,0.999998927116394,"[-0.0180816650390625, 0.01200103759765625, -0.00621795654296875, 0.006046295166015625]","[-0.0180816650390625, 0.01201629638671875, -0.006221771240234375, 0.00603485107421875]"
9,sample-imagenet-images/tench_5.png,tench,0,173,0.14575693011283875,0.14575693011283875,0.0,0.024503862485289574,0.024503862485289574,0.9999992251396179,"[-0.0171356201171875, 0.016326904296875, -0.0057373046875, -0.0027065277099609375]","[-0.0171356201171875, 0.016326904296875, -0.0057373046875, -0.0027065277099609375]"
